"Size and accumulated size
of adjusted gross income",All returns,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Taxable returns,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"$50,000 under $75,000",23805797,14.75535513599547,1466486055,9.886007215403437,61602,21378339,19.3,1321300231,9.42842388692879,21378333,926333771,8.1,21378035,100103566,4.8,100103599,4.7,10.8,7.6,4682
"$75,000 under $100,000",15181035,9.409538473212093,1315619561,8.86897248591423,86662,14549648,13.2,1262289876,9.007342721872863,14549641,946047610,8.3,14549341,113079178,5.4,113079420,5.3,12,9,7772
"$100,000 under $200,000",25887136,16.045414700201523,3567047571,24.04650075216249,137792,25547389,23.1,3524738541,25.151535037567808,25547351,2858175142,25.1,25543182,397720446,18.9,397758377,18.6,13.9,11.3,15569
"$200,000 under $500,000",10017626,6.209144321006424,2891064828,19.48950530580197,288598,9992304,9,2884421405,20.582413471833192,9990080,2541371827,22.3,9975881,478105230,22.8,483056987,22.6,19,16.7,48343
"$500,000 under $1,000,000",1674608,1.0379587691846277,1124299469,7.579228336275078,671381,1672148,1.5,1122634305,8.010800156703903,1671381,1028823801,9,1667357,254284854,12.1,260282198,12.2,25.3,23.2,155657
"$1,000,000 under $1,500,000",360882,0.2236825791712967,435177502,2.9336575755936822,1205872,360444,0.3,434649011,3.1015321284253794,360328,398506804,3.5,359534.3,110819453,5.3,114003393,5.3,28.6,26.2,316286
"$1,500,000 under $2,000,000",148222,0.09187124669539612,254476785,1.715501708376401,1716862,148056,0.1,254190622,1.8138322207695785,147957,232336257,2,147558.2,67287429,3.2,69338677,3.2,29.8,27.3,468327
"$2,000,000 under $5,000,000",208129,0.12900291929312854,621044404,4.186640192108698,2983940,207905,0.2,620386059,4.4268990503137315,207783,565832497,5,207400.8,166026539,7.9,171825620,8,30.4,27.7,826462
"$5,000,000 under $10,000,000",52968,[2],362815724,2.445845872926369,6849715,52913,[2],362436914,2.5862470748802555,52880,329349662,2.9,52746.5,96475701,4.6,100262125,4.7,30.4,27.7,1894849
"$10,000,000 or more",34630,[2],1051519384,7.0885967049721295,30364406,34604,[2],1050594907,7.496747434266158,34571,937403948,8.2,34472.08,251097008,12,266286618,12.4,28.4,25.3,7695255
Accumulated from smallest size of adjusted gross income,,,,,,,,,,,,,,,,,,,,
No adjusted gross income,3254225,2.017040033040476,-164160281,[1],-50445,3843,[2],-9734295,[1],0,0,0,3843.13,128418,[2],128418,[2],[1],[1],33416
"$1 under $5,000",8195783,5.079926069375219,19538869,0.1317171747090514,2384,105475,0.1,331665,[2],101922,150163,[2],105474.52,18734,[2],18735,[2],12.5,5.6,178
"$1 under $10,000",16943510,10.50195913626797,85609625,0.5771192760902063,5053,224583,0.2,1209846,[2],221024,554871,[2],224583.28,60157,[2],60158,[2],10.8,5,268
"$1 under $15,000",26585832,16.47848180617153,206112450,1.3894637190290093,7753,1594938,1.4,20322511,0.1450156774813832,1591229,2406870,[2],1594938.3099999998,248335,[2],248336,[2],10.3,1.2,156
"$1 under $20,000",35644214,22.093065655958576,363851142,2.4528259255385696,10208,6024383,5.4,97705843,0.6972011980475573,6020663,20954882,0.2,6024380.109999999,1984245,0.1,1984573,0.1,9.5,2,329
"$1 under $25,000",43679491,27.073506586001635,544162224,3.6683551503761014,12458,10418271,9.4,196493079,1.402118909990402,10413488,60894081,0.5,10418268.11,5788264,0.3,5788591,0.3,9.5,2.9,556
"$1 under $30,000",51684780,32.035360295889106,764120307,5.15115629138273,14784,15220259,13.8,328740897,2.3458018496972453,15215367,125061349,1.1,15220256.11,12164667,0.6,12164994,0.6,9.7,3.7,799
"$1 under $40,000",67456341,41.81091973647477,1314610456,8.86216981685571,19488,26012193,23.5,706579096,5.041948128389415,26007257,335826884,2.9,26012187.11,33486856,1.6,33487298,1.6,10,4.7,1287
"$1 under $50,000",80711404,50.02669851989435,1908565953,12.866195841481312,23647,36692536,33.2,1186102048,8.463687978949851,36687487,640153315,5.6,36692530.11,63795195,3,63796641,3,10,5.4,1739
"$1 under $75,000",104517201,64.78205365588983,3375052007,22.75220305014346,32292,58070875,52.5,2507402280,17.892111873014358,58065820,1566487085,13.7,58070565.11,163898761,7.8,163900239,7.7,10.5,6.5,2822
"$1 under $100,000",119698236,74.1915921291019,4690671568,31.621175536057688,39187,72620523,65.6,3769692156,26.899454594887224,72615461,2512534696,22,72619906.11,276977939,13.2,276979659,12.9,11,7.3,3814
"$1 under $200,000",145585372,90.23700682930344,8257719140,55.66767629496147,56721,98167912,88.7,7294430696,52.05098962531931,98162812,5370709838,47.1,98163088.11,674698385,32.1,674738036,31.5,12.6,9.3,6873
"$1 under $500,000",155602998,96.44615115030987,11148783967,75.15718159402215,71649,108160216,97.8,10178852102,72.63340310428822,108152891,7912081665,69.4,108138969.11,1152803615,54.9,1157795022,54.1,14.6,11.4,10704
"$1 under $1,000,000",157277606,97.48410991949449,12273083436,82.73640993029723,78035,109832364,99.3,11301486407,80.64420326099211,109824272,8940905466,78.4,109806326.11,1407088469,67,1418077220,66.3,15.9,12.5,12911
"$1 under $1,500,000",157638488,97.7077924986658,12708260938,85.67006750589091,80616,110192808,99.6,11736135417,83.74573538228178,110184600,9339412270,81.9,110165860.41,1517907922,72.3,1532080614,71.6,16.4,13.1,13904
"$1 under $2,000,000",157786709,97.79966312553925,12962737724,87.3855692210086,82154,110340864,99.7,11990326039,85.55956760305136,110332557,9571748527,83.9,110313418.61,1585195351,75.5,1601419291,74.8,16.7,13.4,14513
"$1 under $5,000,000",157994839,97.9286666646543,13583782128,91.5722094131173,85976,110548769,99.9,12610712099,89.98646666050081,110540340,10137581023,88.9,110520819.41,1751221890,83.4,1773244911,82.9,17.5,14.1,16040
"$1 under $10,000,000",158047807,97.9614973928523,13946597852,94.01805528604366,88243,110601682,100,12973149013,92.57271373538107,110593221,10466930685,91.8,110573565.91,1847697591,88,1873507035,87.6,17.9,14.4,16939
$1 or more,158082437,97.98296182642532,14998117237,101.10665199775708,94875,110636286,100,14023743920,100.06946116964724,110627792,11404334633,100,110608037.99,2098794599,100,2139793654,100,18.8,15.3,19341
All returns,161336659,100,14833956956,100,91944,110640128,100,14014009625,100,110627792,11404334633,100,110611880,2098923017,100,2139922072,100,18.8,15.3,19341
Accumulated from largest size of adjusted gross income,,,,,,,,,,,,,,,,,,,,
"$10,000,000 or more",34630,[2],1051519384,7.0885967049721295,30364406,34604,[2],1050594907,7.496747434266158,34571,937403948,8.2,34472.08,251097008,12,266286618,12.4,28.4,25.3,7695255
"$5,000,000 or more",87598,0.05429516177101448,1414335108,9.5344425778985,16145747,87517,0.1,1413031821,10.082994509146415,87451,1266753609,11.1,87218.58,347572709,16.6,366548743,17.1,28.9,25.9,4188315
"$2,000,000 or more",295727,0.18329808106414303,2035379513,13.721082776748487,6882630,295422,0.3,2033417881,14.509893566595863,295235,1832586106,16.1,294619.38,513599248,24.5,538374363,25.2,29.4,26.5,1822391
"$1,500,000 or more",443949,0.2751693277595392,2289856298,15.436584485124888,5157926,443478,0.4,2287608503,16.323725787365444,443191,2064922363,18.1,442177.58,580886677,27.7,607713040,28.4,29.4,26.6,1370334
"$1,000,000 or more",804831,0.49885190693083586,2725033800,18.37024206071857,3385846,803922,0.7,2722257513,19.425257908655105,803520,2463429167,21.6,801711.88,691706130,33,721716433,33.7,29.3,26.5,897744
"$500,000 or more",2479439,1.5368106761154636,3849333269,25.949470396993647,1552502,2476070,2.2,3844891818,27.43605806535901,2474900,3492252968,30.6,2469068.88,945990984,45.1,981998631,45.9,28.1,25.5,396596
"$200,000 or more",12497065,7.7459549971218875,6740398097,45.43897570279562,539358,12468374,11.3,6729313224,48.01847154432791,12464980,6033624795,52.9,12444949.88,1424096214,67.8,1465055618,68.5,24.3,21.8,117502
"$100,000 or more",38384201,23.791369697323407,10307445668,69.4854764549581,268534,38015763,34.4,10254051764,73.17000657476001,38012330,8891799937,78,37988131.879999995,1821816660,86.8,1862813995,87.1,20.9,18.2,49001
"$75,000 or more",53565236,33.200908170535506,11623065229,78.35444894087233,216989,52565411,47.5,11516341640,82.17734929663287,52561972,9837847547,86.3,52537472.879999995,1934895838,92.2,1975893415,92.3,20.1,17.2,37589
"$50,000 or more",77371033,47.95626330653097,13089551284,88.24045615627577,169179,73943750,66.8,12837641872,91.60577319069738,73940305,10764181318,94.4,73915507.88,2034999404,97,2075997013,97,19.3,16.2,28075
"$40,000 or more",90626096,56.17204208995056,13683506780,92.24448217416008,150989,84624093,76.5,13317164824,95.02751304125782,84620535,11068507749,97.1,84595850.88,2065307743,98.4,2106306356,98.4,19,15.8,24890
"$30,000 or more",106397657,65.94760153053622,14233996930,95.95549570637435,133781,95416027,86.2,13695003023,97.72365931994999,95412425,11279273284,98.9,95387781.88,2086629932,99.4,2127628660,99.4,18.9,15.5,22298
"$25,000 or more",114402946,70.9094552404237,14453955013,97.43829684738098,126343,100218015,90.6,13827250841,98.66734225965682,100214304,11343440552,99.5,100189769.88,2093006335,99.7,2134005062,99.7,18.8,15.4,21294
"$20,000 or more",122438223,75.88989617046676,14634266094,98.65382606547722,119524,104611903,94.6,13926038077,99.37225997159968,104607129,11383379751,99.8,104583657.88,2096810354,99.9,2137809081,99.9,18.8,15.4,20436
"$15,000 or more",131496605,81.5044800202538,14792004787,99.71718827872807,112490,109041347,98.6,14003421409,99.92444549216584,109036562,11401927763,100,109013099.67999999,2098546264,100,2139545318,100,18.8,15.3,19621
"$10,000 or more",141138927,87.48100269015737,14912507612,100.52953272166687,105658,110411702,99.8,14022534074,100.06082805155773,110406768,11403779761,100,110383454.71,2098734442,100,2139733496,100,18.8,15.3,19380
"$5,000 or more",149886654,92.9030357570501,14978578368,100.97493482304802,99933,110530811,99.9,14023412255,100.06709450222743,110525870,11404184470,100,110502563.47,2098775865,100,2139774919,100,18.8,15.3,19359
$1 or more,158082437,97.98296182642532,14998117237,101.10665199775708,94875,110636286,100,14023743920,100.06946116964724,110627792,11404334633,100,110608037.99,2098794599,100,2139793654,100,18.8,15.3,19341
All returns,161336659,100,14833956956,100,91944,110640128,100,14014009625,100,110627792,11404334633,100,110611880,2098923017,100,2139922072,100,18.8,15.3,19341
   [1] Percentage not computed.,,,,,,,,,,,,,,,,,,,,
   [2] Less than 0.05 percent.,,,,,,,,,,,,,,,,,,,,
    NOTE: Detail may not add to totals because of rounding.,,,,,,,,,,,,,,,,,,,,
"    SOURCE: IRS, Statistics of Income Division, Publication 1304, October 2024",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,, ,,,,,,,,,,
