date,variable,value,estimate_type
2028,core_pce_price_index,132.491,projected
2029,core_pce_price_index,135.12,projected
2030,core_pce_price_index,137.77,projected
2031,core_pce_price_index,140.469,projected
2032,core_pce_price_index,143.22,projected
2033,core_pce_price_index,146.025,projected
2034,core_pce_price_index,148.885,projected
2021,core_pce_price_index_pct_change,2.751,actual
2022,core_pce_price_index_pct_change,5.196,actual
2023,core_pce_price_index_pct_change,4.596,actual
2024,core_pce_price_index_pct_change,2.746,projected
2025,core_pce_price_index_pct_change,2.383,projected
2026,core_pce_price_index_pct_change,2.266,projected
2027,core_pce_price_index_pct_change,2.106,projected
2028,core_pce_price_index_pct_change,2.025,projected
2029,core_pce_price_index_pct_change,1.984,projected
2030,core_pce_price_index_pct_change,1.961,projected
2031,core_pce_price_index_pct_change,1.958,projected
2032,core_pce_price_index_pct_change,1.958,projected
2033,core_pce_price_index_pct_change,1.958,projected
2034,core_pce_price_index_pct_change,1.958,projected
2021,corp_profits_adj,2796.0,actual
2022,corp_profits_adj,3144.3,actual
2023,corp_profits_adj,3215.8,actual
2024,corp_profits_adj,3252.2,projected
2025,corp_profits_adj,3325.2,projected
2026,corp_profits_adj,3415.6,projected
2027,corp_profits_adj,3486.7,projected
2028,corp_profits_adj,3591.6,projected
2029,corp_profits_adj,3717.2,projected
2030,corp_profits_adj,3835.6,projected
2031,corp_profits_adj,3951.3,projected
2032,corp_profits_adj,4087.1,projected
2033,corp_profits_adj,4227.2,projected
2034,corp_profits_adj,4374.4,projected
2021,corp_profits_adj_share_of_gdp,12.19,actual
2022,corp_profits_adj_share_of_gdp,12.425,actual
2023,corp_profits_adj_share_of_gdp,11.918,actual
2024,corp_profits_adj_share_of_gdp,11.542,projected
2025,corp_profits_adj_share_of_gdp,11.365,projected
2026,corp_profits_adj_share_of_gdp,11.197,projected
2027,corp_profits_adj_share_of_gdp,10.979,projected
2028,corp_profits_adj_share_of_gdp,10.869,projected
2029,corp_profits_adj_share_of_gdp,10.813,projected
2030,corp_profits_adj_share_of_gdp,10.73,projected
2031,corp_profits_adj_share_of_gdp,10.634,projected
2032,corp_profits_adj_share_of_gdp,10.585,projected
2033,corp_profits_adj_share_of_gdp,10.539,projected
2034,corp_profits_adj_share_of_gdp,10.503,projected
2021,corp_profits_domestic_adj,2365.3,actual
2022,corp_profits_domestic_adj,2687.5,actual
2023,corp_profits_domestic_adj,2708.1,actual
2024,corp_profits_domestic_adj,2748.7,projected
2025,corp_profits_domestic_adj,2817.0,projected
2026,corp_profits_domestic_adj,2889.5,projected
2027,corp_profits_domestic_adj,2939.6,projected
2028,corp_profits_domestic_adj,3026.6,projected
2029,corp_profits_domestic_adj,3136.2,projected
2030,corp_profits_domestic_adj,3237.8,projected
2031,corp_profits_domestic_adj,3333.3,projected
2032,corp_profits_domestic_adj,3445.6,projected
2033,corp_profits_domestic_adj,3562.6,projected
2034,corp_profits_domestic_adj,3687.2,projected
2021,corp_profits_domestic_adj_share_of_gdp,10.312,actual
2022,corp_profits_domestic_adj_share_of_gdp,10.62,actual
2023,corp_profits_domestic_adj_share_of_gdp,10.036,actual
2024,corp_profits_domestic_adj_share_of_gdp,9.755,projected
2025,corp_profits_domestic_adj_share_of_gdp,9.628,projected
2026,corp_profits_domestic_adj_share_of_gdp,9.472,projected
2027,corp_profits_domestic_adj_share_of_gdp,9.257,projected
2028,corp_profits_domestic_adj_share_of_gdp,9.159,projected
2029,corp_profits_domestic_adj_share_of_gdp,9.123,projected
2030,corp_profits_domestic_adj_share_of_gdp,9.057,projected
2031,corp_profits_domestic_adj_share_of_gdp,8.97,projected
2032,corp_profits_domestic_adj_share_of_gdp,8.924,projected
2033,corp_profits_domestic_adj_share_of_gdp,8.882,projected
2034,corp_profits_domestic_adj_share_of_gdp,8.853,projected
2021,cpiu,266.555,actual
2022,cpiu,287.657,actual
2023,cpiu,302.309,actual
2024,cpiu,310.683,projected
2025,cpiu,318.503,projected
2026,cpiu,326.08,projected
2027,cpiu,333.275,projected
2028,cpiu,340.558,projected
2029,cpiu,348.094,projected
2030,cpiu,355.836,projected
2031,cpiu,363.802,projected
2032,cpiu,371.982,projected
2033,cpiu,380.365,projected
2034,cpiu,388.947,projected
2021,cpiu_pct_change,3.291,actual
2022,cpiu_pct_change,7.916,actual
2023,cpiu_pct_change,5.093,actual
2024,cpiu_pct_change,2.769,projected
2025,cpiu_pct_change,2.516,projected
2026,cpiu_pct_change,2.379,projected
2027,cpiu_pct_change,2.206,projected
2028,cpiu_pct_change,2.185,projected
2029,cpiu_pct_change,2.212,projected
2030,cpiu_pct_change,2.223,projected
2031,cpiu_pct_change,2.238,projected
2032,cpiu_pct_change,2.248,projected
2033,cpiu_pct_change,2.253,projected
2034,cpiu_pct_change,2.256,projected
2021,current_account_balance,-798.1,actual
2022,current_account_balance,-996.2,actual
2023,current_account_balance,-853.2,actual
2024,current_account_balance,-929.8,projected
2025,current_account_balance,-1079.9,projected
2026,current_account_balance,-1160.1,projected
2027,current_account_balance,-1194.5,projected
2028,current_account_balance,-1221.1,projected
2029,current_account_balance,-1253.8,projected
2030,current_account_balance,-1302.9,projected
2031,current_account_balance,-1359.3,projected
2032,current_account_balance,-1419.7,projected
2033,current_account_balance,-1486.6,projected
2034,current_account_balance,-1556.7,projected
2021,dividend_inc_pers,1625.2,actual
2022,dividend_inc_pers,1798.9,actual
2023,dividend_inc_pers,1832.6,actual
2024,dividend_inc_pers,1880.3,projected
2025,dividend_inc_pers,1944.6,projected
2026,dividend_inc_pers,2001.0,projected
2027,dividend_inc_pers,2044.2,projected
2028,dividend_inc_pers,2094.5,projected
2029,dividend_inc_pers,2173.8,projected
2030,dividend_inc_pers,2260.2,projected
2031,dividend_inc_pers,2349.3,projected
2032,dividend_inc_pers,2441.1,projected
2033,dividend_inc_pers,2535.7,projected
2034,dividend_inc_pers,2632.9,projected
2021,dividend_inc_pers_share_of_gdp,7.085,actual
2022,dividend_inc_pers_share_of_gdp,7.108,actual
2023,dividend_inc_pers_share_of_gdp,6.791,actual
2024,dividend_inc_pers_share_of_gdp,6.673,projected
2025,dividend_inc_pers_share_of_gdp,6.646,projected
2026,dividend_inc_pers_share_of_gdp,6.559,projected
2027,dividend_inc_pers_share_of_gdp,6.437,projected
2028,dividend_inc_pers_share_of_gdp,6.338,projected
2029,dividend_inc_pers_share_of_gdp,6.323,projected
2030,dividend_inc_pers_share_of_gdp,6.322,projected
2031,dividend_inc_pers_share_of_gdp,6.322,projected
2032,dividend_inc_pers_share_of_gdp,6.322,projected
2033,dividend_inc_pers_share_of_gdp,6.322,projected
2034,dividend_inc_pers_share_of_gdp,6.322,projected
2021,eci_wages_salaries,145.25,actual
2022,eci_wages_salaries,152.875,actual
2023,eci_wages_salaries,160.25,actual
2024,eci_wages_salaries,166.754,projected
2025,eci_wages_salaries,172.639,projected
2026,eci_wages_salaries,178.458,projected
2027,eci_wages_salaries,184.172,projected
2028,eci_wages_salaries,189.848,projected
2029,eci_wages_salaries,195.608,projected
2030,eci_wages_salaries,201.546,projected
2031,eci_wages_salaries,207.656,projected
2032,eci_wages_salaries,213.938,projected
2033,eci_wages_salaries,220.39,projected
2034,eci_wages_salaries,227.005,projected
2021,eci_wages_salaries_pct_change,3.454,actual
2022,eci_wages_salaries_pct_change,5.249,actual
2023,eci_wages_salaries_pct_change,4.824,actual
2024,eci_wages_salaries_pct_change,4.059,projected
2025,eci_wages_salaries_pct_change,3.529,projected
2026,eci_wages_salaries_pct_change,3.37,projected
2027,eci_wages_salaries_pct_change,3.202,projected
2028,eci_wages_salaries_pct_change,3.081,projected
2029,eci_wages_salaries_pct_change,3.033,projected
2030,eci_wages_salaries_pct_change,3.036,projected
2031,eci_wages_salaries_pct_change,3.031,projected
2032,eci_wages_salaries_pct_change,3.024,projected
2033,eci_wages_salaries_pct_change,3.015,projected
2034,eci_wages_salaries_pct_change,3.001,projected
2021,empl_civ_16yo,151.23,actual
2022,empl_civ_16yo,157.433,actual
2023,empl_civ_16yo,160.397,actual
2024,empl_civ_16yo,161.932,projected
2025,empl_civ_16yo,163.244,projected
2026,empl_civ_16yo,165.076,projected
2027,empl_civ_16yo,166.195,projected
2028,empl_civ_16yo,166.947,projected
2029,empl_civ_16yo,167.567,projected
2030,empl_civ_16yo,168.169,projected
2031,empl_civ_16yo,168.807,projected
2032,empl_civ_16yo,169.486,projected
2033,empl_civ_16yo,170.134,projected
2034,empl_civ_16yo,170.742,projected
2021,empl_civ_16yo_pct_change,0.822,actual
2022,empl_civ_16yo_pct_change,4.101,actual
2023,empl_civ_16yo_pct_change,1.882,actual
2024,empl_civ_16yo_pct_change,0.956,projected
2025,empl_civ_16yo_pct_change,0.81,projected
2026,empl_civ_16yo_pct_change,1.122,projected
2027,empl_civ_16yo_pct_change,0.677,projected
2028,empl_civ_16yo_pct_change,0.452,projected
2029,empl_civ_16yo_pct_change,0.371,projected
2030,empl_civ_16yo_pct_change,0.359,projected
2031,empl_civ_16yo_pct_change,0.379,projected
2032,empl_civ_16yo_pct_change,0.402,projected
2033,empl_civ_16yo_pct_change,0.382,projected
2034,empl_civ_16yo_pct_change,0.357,projected
2021,empl_payroll_nf,144.632,actual
2022,empl_payroll_nf,151.345,actual
2023,empl_payroll_nf,155.488,actual
2024,empl_payroll_nf,157.627,projected
2025,empl_payroll_nf,158.924,projected
2026,empl_payroll_nf,160.792,projected
2027,empl_payroll_nf,161.869,projected
2028,empl_payroll_nf,162.625,projected
2029,empl_payroll_nf,163.241,projected
2030,empl_payroll_nf,163.841,projected
2031,empl_payroll_nf,164.463,projected
2032,empl_payroll_nf,165.126,projected
2033,empl_payroll_nf,165.757,projected
2034,empl_payroll_nf,166.349,projected
2021,empl_payroll_nf_pct_change,0.148,actual
2022,empl_payroll_nf_pct_change,4.64,actual
2023,empl_payroll_nf_pct_change,2.737,actual
2024,empl_payroll_nf_pct_change,1.375,projected
2025,empl_payroll_nf_pct_change,0.823,projected
2026,empl_payroll_nf_pct_change,1.174,projected
2027,empl_payroll_nf_pct_change,0.67,projected
2028,empl_payroll_nf_pct_change,0.467,projected
2029,empl_payroll_nf_pct_change,0.378,projected
2030,empl_payroll_nf_pct_change,0.367,projected
2031,empl_payroll_nf_pct_change,0.379,projected
2032,empl_payroll_nf_pct_change,0.402,projected
2033,empl_payroll_nf_pct_change,0.382,projected
2034,empl_payroll_nf_pct_change,0.357,projected
2021,exchange_rate_export_weighted,201.955,actual
2022,exchange_rate_export_weighted,211.376,actual
2023,exchange_rate_export_weighted,214.864,actual
2024,exchange_rate_export_weighted,211.882,projected
2025,exchange_rate_export_weighted,207.076,projected
2026,exchange_rate_export_weighted,203.149,projected
2027,exchange_rate_export_weighted,197.911,projected
2028,exchange_rate_export_weighted,193.808,projected
2029,exchange_rate_export_weighted,191.344,projected
2030,exchange_rate_export_weighted,189.723,projected
2031,exchange_rate_export_weighted,188.225,projected
2032,exchange_rate_export_weighted,186.348,projected
2033,exchange_rate_export_weighted,184.816,projected
2034,exchange_rate_export_weighted,183.485,projected
2021,exports,2428.4,actual
2022,exports,2929.9,actual
2023,exports,3019.5,actual
2024,exports,3046.7,projected
2025,exports,3142.5,projected
2026,exports,3268.2,projected
2027,exports,3422.0,projected
2028,exports,3588.2,projected
2029,exports,3749.3,projected
2030,exports,3906.3,projected
2031,exports,4063.9,projected
2032,exports,4228.8,projected
2033,exports,4394.4,projected
2034,exports,4560.1,projected
2021,exports_pct_change,9.558,actual
2022,exports_pct_change,20.651,actual
2023,exports_pct_change,3.059,actual
2024,exports_pct_change,0.901,projected
2025,exports_pct_change,3.141,projected
2026,exports_pct_change,4.0,projected
2027,exports_pct_change,4.707,projected
2028,exports_pct_change,4.855,projected
2029,exports_pct_change,4.489,projected
2030,exports_pct_change,4.187,projected
2031,exports_pct_change,4.034,projected
2032,exports_pct_change,4.057,projected
2033,exports_pct_change,3.918,projected
2034,exports_pct_change,3.769,projected
2021,fed_funds_rate,0.082,actual
2022,fed_funds_rate,0.79,actual
2023,fed_funds_rate,4.605,actual
2024,fed_funds_rate,5.221,projected
2025,fed_funds_rate,4.333,projected
2026,fed_funds_rate,3.458,projected
2027,fed_funds_rate,3.02,projected
2028,fed_funds_rate,2.875,projected
2029,fed_funds_rate,2.879,projected
2030,fed_funds_rate,2.911,projected
2031,fed_funds_rate,2.955,projected
2032,fed_funds_rate,2.978,projected
2033,fed_funds_rate,2.967,projected
2034,fed_funds_rate,2.958,projected
2021,federal_government_c_gi,1576.6,actual
2022,federal_government_c_gi,1613.2,actual
2023,federal_government_c_gi,1739.6,actual
2024,federal_government_c_gi,1811.9,projected
2025,federal_government_c_gi,1862.8,projected
2026,federal_government_c_gi,1916.3,projected
2027,federal_government_c_gi,1972.5,projected
2028,federal_government_c_gi,2027.7,projected
2029,federal_government_c_gi,2084.0,projected
2030,federal_government_c_gi,2140.9,projected
2031,federal_government_c_gi,2197.7,projected
2032,federal_government_c_gi,2241.6,projected
2033,federal_government_c_gi,2299.8,projected
2034,federal_government_c_gi,2360.2,projected
2021,federal_government_c_gi_pct_change,5.03,actual
2022,federal_government_c_gi_pct_change,2.323,actual
2023,federal_government_c_gi_pct_change,7.834,actual
2024,federal_government_c_gi_pct_change,4.157,projected
2025,federal_government_c_gi_pct_change,2.808,projected
2026,federal_government_c_gi_pct_change,2.873,projected
2027,federal_government_c_gi_pct_change,2.933,projected
2028,federal_government_c_gi_pct_change,2.799,projected
2029,federal_government_c_gi_pct_change,2.775,projected
2030,federal_government_c_gi_pct_change,2.727,projected
2031,federal_government_c_gi_pct_change,2.654,projected
2032,federal_government_c_gi_pct_change,1.998,projected
2033,federal_government_c_gi_pct_change,2.596,projected
2034,federal_government_c_gi_pct_change,2.624,projected
2021,gdi,22998.1,actual
2022,gdi,25400.3,actual
2023,gdi,26566.5,actual
2024,gdi,27823.6,projected
2025,gdi,29154.1,projected
2026,gdi,30486.9,projected
2027,gdi,31769.1,projected
2028,gdi,33067.5,projected
2029,gdi,34403.7,projected
2030,gdi,35777.2,projected
2031,gdi,37189.5,projected
2032,gdi,38643.8,projected
2033,gdi,40142.2,projected
2034,gdi,41682.8,projected
2021,gdi_pct_change,8.672,actual
2022,gdi_pct_change,10.445,actual
2023,gdi_pct_change,4.591,actual
2024,gdi_pct_change,4.731,projected
2025,gdi_pct_change,4.781,projected
2026,gdi_pct_change,4.571,projected
2027,gdi_pct_change,4.205,projected
2028,gdi_pct_change,4.086,projected
2029,gdi_pct_change,4.04,projected
2030,gdi_pct_change,3.992,projected
2031,gdi_pct_change,3.947,projected
2032,gdi_pct_change,3.91,projected
2033,gdi_pct_change,3.877,projected
2034,gdi_pct_change,3.837,projected
2021,gdp,22936.5,actual
2022,gdp,25305.7,actual
2023,gdp,26982.4,actual
2024,gdp,28176.6,projected
2025,gdp,29256.4,projected
2026,gdp,30503.6,projected
2027,gdp,31755.7,projected
2028,gdp,33043.1,projected
2029,gdp,34374.7,projected
2030,gdp,35745.9,projected
2031,gdp,37156.6,projected
2032,gdp,38609.4,projected
2033,gdp,40106.5,projected
2034,gdp,41645.7,projected
2021,gdp_pct_change,7.721,actual
2022,gdp_pct_change,10.329,actual
2023,gdp_pct_change,6.625,actual
2024,gdp_pct_change,4.425,projected
2025,gdp_pct_change,3.832,projected
2026,gdp_pct_change,4.262,projected
2027,gdp_pct_change,4.104,projected
2028,gdp_pct_change,4.054,projected
2029,gdp_pct_change,4.03,projected
2030,gdp_pct_change,3.988,projected
2031,gdp_pct_change,3.946,projected
2032,gdp_pct_change,3.909,projected
2033,gdp_pct_change,3.877,projected
2034,gdp_pct_change,3.837,projected
2021,gdp_price_index,108.587,actual
2022,gdp_price_index,116.181,actual
2023,gdp_price_index,121.506,actual
2024,gdp_price_index,124.294,projected
2025,gdp_price_index,126.776,projected
2026,gdp_price_index,129.281,projected
2027,gdp_price_index,131.75,projected
2028,gdp_price_index,134.255,projected
2029,gdp_price_index,136.826,projected
2030,gdp_price_index,139.457,projected
2031,gdp_price_index,142.161,projected
2032,gdp_price_index,144.931,projected
2033,gdp_price_index,147.777,projected
2034,gdp_price_index,150.689,projected
2021,gdp_price_index_pct_change,3.45,actual
2022,gdp_price_index_pct_change,6.992,actual
2023,gdp_price_index_pct_change,4.583,actual
2024,gdp_price_index_pct_change,2.295,projected
2025,gdp_price_index_pct_change,1.996,projected
2026,gdp_price_index_pct_change,1.975,projected
2027,gdp_price_index_pct_change,1.91,projected
2028,gdp_price_index_pct_change,1.901,projected
2029,gdp_price_index_pct_change,1.914,projected
2030,gdp_price_index_pct_change,1.922,projected
2031,gdp_price_index_pct_change,1.939,projected
2032,gdp_price_index_pct_change,1.948,projected
2033,gdp_price_index_pct_change,1.963,projected
2034,gdp_price_index_pct_change,1.97,projected
2021,gnp,23124.8,actual
2022,gnp,25484.2,actual
2023,gnp,27153.8,actual
2024,gnp,28264.4,projected
2025,gnp,29257.0,projected
2026,gnp,30470.2,projected
2027,gnp,31729.0,projected
2028,gnp,33023.7,projected
2029,gnp,34347.7,projected
2030,gnp,35701.1,projected
2031,gnp,37088.6,projected
2032,gnp,38516.1,projected
2033,gnp,39985.7,projected
2034,gnp,41496.4,projected
2021,gnp_pct_change,7.43,actual
2022,gnp_pct_change,10.202,actual
2023,gnp_pct_change,6.551,actual
2024,gnp_pct_change,4.09,projected
2025,gnp_pct_change,3.511,projected
2026,gnp_pct_change,4.146,projected
2027,gnp_pct_change,4.131,projected
2028,gnp_pct_change,4.08,projected
2029,gnp_pct_change,4.009,projected
2030,gnp_pct_change,3.94,projected
2031,gnp_pct_change,3.886,projected
2032,gnp_pct_change,3.848,projected
2033,gnp_pct_change,3.815,projected
2034,gnp_pct_change,3.778,projected
2021,government_c_gi,4131.0,actual
2022,government_c_gi,4370.4,actual
2023,government_c_gi,4669.6,actual
2024,government_c_gi,4874.2,projected
2025,government_c_gi,5035.1,projected
2026,government_c_gi,5211.0,projected
2027,government_c_gi,5394.7,projected
2028,government_c_gi,5579.9,projected
2029,government_c_gi,5763.3,projected
2030,government_c_gi,5948.0,projected
2031,government_c_gi,6136.1,projected
2032,government_c_gi,6315.1,projected
2033,government_c_gi,6512.9,projected
2034,government_c_gi,6716.7,projected
2021,government_c_gi_pct_change,4.409,actual
2022,government_c_gi_pct_change,5.795,actual
2023,government_c_gi_pct_change,6.847,actual
2024,government_c_gi_pct_change,4.381,projected
2025,government_c_gi_pct_change,3.301,projected
2026,government_c_gi_pct_change,3.491,projected
2027,government_c_gi_pct_change,3.525,projected
2028,government_c_gi_pct_change,3.433,projected
2029,government_c_gi_pct_change,3.287,projected
2030,government_c_gi_pct_change,3.205,projected
2031,government_c_gi_pct_change,3.162,projected
2032,government_c_gi_pct_change,2.916,projected
2033,government_c_gi_pct_change,3.131,projected
2034,government_c_gi_pct_change,3.13,projected
2021,gross_pri_dom_invest,4077.8,actual
2022,gross_pri_dom_invest,4706.1,actual
2023,gross_pri_dom_invest,4806.1,actual
2024,gross_pri_dom_invest,4967.2,projected
2025,gross_pri_dom_invest,5209.3,projected
2026,gross_pri_dom_invest,5539.1,projected
2027,gross_pri_dom_invest,5848.5,projected
2028,gross_pri_dom_invest,6093.2,projected
2029,gross_pri_dom_invest,6299.2,projected
2030,gross_pri_dom_invest,6510.2,projected
2031,gross_pri_dom_invest,6736.1,projected
2032,gross_pri_dom_invest,6962.7,projected
2033,gross_pri_dom_invest,7166.4,projected
2034,gross_pri_dom_invest,7347.6,projected
2021,gross_pri_dom_invest_pct_change,9.924,actual
2022,gross_pri_dom_invest_pct_change,15.408,actual
2023,gross_pri_dom_invest_pct_change,2.124,actual
2024,gross_pri_dom_invest_pct_change,3.352,projected
2025,gross_pri_dom_invest_pct_change,4.872,projected
2026,gross_pri_dom_invest_pct_change,6.33,projected
2027,gross_pri_dom_invest_pct_change,5.586,projected
2028,gross_pri_dom_invest_pct_change,4.182,projected
2029,gross_pri_dom_invest_pct_change,3.38,projected
2030,gross_pri_dom_invest_pct_change,3.349,projected
2031,gross_pri_dom_invest_pct_change,3.471,projected
2032,gross_pri_dom_invest_pct_change,3.362,projected
2033,gross_pri_dom_invest_pct_change,2.926,projected
2034,gross_pri_dom_invest_pct_change,2.528,projected
2021,hours_nfb,98.786,actual
2022,hours_nfb,103.571,actual
2023,hours_nfb,105.307,actual
2024,hours_nfb,105.798,projected
2025,hours_nfb,106.257,projected
2026,hours_nfb,107.33,projected
2027,hours_nfb,107.852,projected
2028,hours_nfb,108.178,projected
2029,hours_nfb,108.424,projected
2030,hours_nfb,108.684,projected
2031,hours_nfb,108.989,projected
2032,hours_nfb,109.34,projected
2033,hours_nfb,109.68,projected
2034,hours_nfb,110.0,projected
2021,hours_nfb_pct_change,2.337,actual
2022,hours_nfb_pct_change,4.843,actual
2023,hours_nfb_pct_change,1.675,actual
2024,hours_nfb_pct_change,0.466,projected
2025,hours_nfb_pct_change,0.433,projected
2026,hours_nfb_pct_change,1.009,projected
2027,hours_nfb_pct_change,0.486,projected
2028,hours_nfb_pct_change,0.302,projected
2029,hours_nfb_pct_change,0.227,projected
2030,hours_nfb_pct_change,0.24,projected
2031,hours_nfb_pct_change,0.279,projected
2032,hours_nfb_pct_change,0.322,projected
2033,hours_nfb_pct_change,0.31,projected
2034,hours_nfb_pct_change,0.292,projected
2021,house_price_index_fhfa,322.737,actual
2022,house_price_index_fhfa,375.417,actual
2023,house_price_index_fhfa,395.6,actual
2024,house_price_index_fhfa,422.792,projected
2025,house_price_index_fhfa,439.256,projected
2026,house_price_index_fhfa,450.786,projected
2027,house_price_index_fhfa,463.391,projected
2028,house_price_index_fhfa,477.132,projected
2029,house_price_index_fhfa,491.793,projected
2030,house_price_index_fhfa,507.23,projected
2031,house_price_index_fhfa,523.367,projected
2032,house_price_index_fhfa,540.177,projected
2033,house_price_index_fhfa,557.658,projected
2034,house_price_index_fhfa,575.812,projected
2021,households,126.281,actual
2022,households,128.096,actual
2023,households,129.965,actual
2024,households,130.946,projected
2025,households,132.005,projected
2026,households,133.172,projected
2027,households,134.42,projected
2028,households,135.744,projected
2029,households,137.052,projected
2030,households,138.32,projected
2031,households,139.542,projected
2032,households,140.669,projected
2033,households,141.675,projected
2034,households,142.59,projected
2021,imports,3245.7,actual
2022,imports,3912.8,actual
2023,imports,3842.2,actual
2024,imports,3846.7,projected
2025,imports,3987.7,projected
2026,imports,4149.8,projected
2027,imports,4335.6,projected
2028,imports,4525.4,projected
2029,imports,4700.9,projected
2030,imports,4878.8,projected
2031,imports,5059.2,projected
2032,imports,5249.1,projected
2033,imports,5441.8,projected
2034,imports,5636.0,projected
2021,imports_pct_change,16.677,actual
2022,imports_pct_change,20.552,actual
2023,imports_pct_change,-1.803,actual
2024,imports_pct_change,0.119,projected
2025,imports_pct_change,3.664,projected
2026,imports_pct_change,4.063,projected
2027,imports_pct_change,4.477,projected
2028,imports_pct_change,4.378,projected
2029,imports_pct_change,3.878,projected
2030,imports_pct_change,3.785,projected
2031,imports_pct_change,3.697,projected
2032,imports_pct_change,3.753,projected
2033,imports_pct_change,3.67,projected
2034,imports_pct_change,3.569,projected
2021,interest_inc_pers,1508.4,actual
2022,interest_inc_pers,1581.5,actual
2023,interest_inc_pers,1748.7,actual
2024,interest_inc_pers,2056.3,projected
2025,interest_inc_pers,2266.3,projected
2026,interest_inc_pers,2509.2,projected
2027,interest_inc_pers,2715.0,projected
2028,interest_inc_pers,2882.7,projected
2029,interest_inc_pers,3001.3,projected
2030,interest_inc_pers,3121.9,projected
2031,interest_inc_pers,3267.9,projected
2032,interest_inc_pers,3419.3,projected
2033,interest_inc_pers,3557.9,projected
2034,interest_inc_pers,3678.0,projected
2021,interest_inc_pers_share_of_gdp,6.576,actual
