# Transcribed inputs for fiscal_model/pharma.py's incidence model.
#
# Every parameter the drug-pricing module uses to decide *who pays* — the
# federal share of a Medicare cost shift, the gross-to-net and brand/generic
# split of Medicare drug spending, and the international price ratio the
# reference-pricing identity is built on — is transcribed here with the
# document, page and URL it was read from. `PHARMA_BASELINE` in
# fiscal_model/pharma.py carries the same values, and
# tests/test_pharma_incidence.py pins the two against each other so they
# cannot drift.
#
# Transcribed 2026-09-01 for lane L7 of planning/MODELING_IMPROVEMENT.md.
#
# Columns
#   key        matches the PHARMA_BASELINE key where role=model_input
#   value      the number as published (shares as decimals)
#   units      what the number counts
#   data_year  the year the published figure describes, not its publication date
#   role       model_input  = read by pharma.py
#              external_check = a published score the module is compared against,
#                               never an input to it
#              context      = published alongside an input and needed to read it
#   source / page / url / published
#
# Sign convention: none of these are budget effects. The module applies its own
# sign — deficit effect, positive widens the deficit.
#
# On the two figures this file replaces. `avg_drug_price_ratio_to_intl = 2.56`
# was RAND's *all-drug, gross list-price* ratio from the 2018-data edition of
# the same ASPE series, applied to a net Part B + D spending base; and
# `insulin_avg_cost_per_year = 6000` was a retail insulin *price*, applied as
# though the whole of it were a federal outlay. Both are superseded below. The
# 2018-data edition would give a *smaller* modelled price cut than the 2022-data
# edition used here (all-drug gross 256% vs 278%, brand gross 344% vs 422%), so
# the choice of the newer edition is not error-minimising.
#
# Lane W4-pharma (2026-09-02) added the rows below the original block and
# demoted one. `part_d_program_federal_share` was Medicare's 2023 share of
# Part D program cost carried as a single number; it is now `context`,
# because the module builds the same quantity from the three channels that
# make it up (direct subsidy, reinsurance, low-income subsidy) re-weighted
# on MedPAC's published 2025 bid decomposition. 2023 was the last full year
# of the pre-redesign benefit, in which reinsurance covered 80% of
# catastrophic-phase cost rather than the IRA's 20%/40%.
#
# `medicare_part_d_gross_spending_billions` supersedes an unsourced 220.0 in
# PHARMA_BASELINE. CMS's own statement of what the first ten negotiated
# drugs are a fifth of puts total gross Part D spending at about $281B in
# 2023, and the negotiation ladder contradicts 220.0 directly: current law's
# cumulative selections reach $257B of gross spending by 2034.
key,value,units,data_year,role,source,page,url,published
cbo_57957_insulin_cap_deficit_billions,11.4,billions of dollars over FY2022-2031,2022,external_check,"CBO, Estimated Budgetary Effects of H.R. 6833, the Affordable Insulin Now Act, publication 57957 — secs. 2 and 3 score at +$6.566B of outlays and -$4.793B of revenues, i.e. about +$11.4B of deficit. A $35 cap extended to private plans ADDS to the deficit",table p. 1,https://www.cbo.gov/publication/57957,2022-03
cbo_55936_hr3_negotiation_savings_billions,456.0,billions of dollars over 2020-2029,2019,external_check,"CBO, H.R. 3, Elijah E. Cummings Lower Drug Costs Now Act, publication 55936 — the price-negotiation title, capped at 120% of the average international market price for a limited set of drugs, lowers spending by about $456B. CBO put the average net-price reduction for the first negotiated group at about 55%",cost estimate summary,https://www.cbo.gov/publication/55936,2019-12
medicare_part_d_gross_spending_billions,281.0,billions of dollars per year,2023,model_input,"CMS press release, Negotiating for Lower Drug Prices Works, Saves Billions — ""The selected drugs accounted for $56.2 billion in total Medicare spending, or about 20 percent of total Part D gross spending in 2023"", i.e. total Part D gross spending of about $281B",press release,https://www.cms.gov/newsroom/press-releases/negotiating-lower-drug-prices-works-saves-billions,2024-08
rand_us_sales_share_in_comparison,0.902,share of US sales in the matched sample,2022,model_input,"RAND RR-A788-3, Table A.4 (Number of Presentations Used to Calculate Price Indexes) — for the ""All countries excluding the United States"" comparison, the presentations contributing to bilateral comparisons account for 90.2% of US sales and 88.3% of US volume",p. 36,https://www.rand.org/pubs/research_reports/RRA788-3.html,2024-02
rand_brand_share_of_contributing_us_sales,0.84,share of contributing US sales,2022,model_input,"RAND RR-A788-3, Table A.6 — brand-name originators are 84% of the US sales of presentations that contribute to bilateral comparisons",p. 38,https://www.rand.org/pubs/research_reports/RRA788-3.html,2024-02
rand_brand_share_of_all_us_sales,0.87,share of all US sales,2022,model_input,"RAND RR-A788-3, Table 2.2 — brand-name originators are 87% of all US sales in the MIDAS extract. The report warns in Appendix A that ""the presentations contributing to bilateral comparisons accounted for smaller shares of brand-name originator ... sales"" than all presentations did; 0.902 x 0.84 / 0.87 is that warning as a number",p. 12,https://www.rand.org/pubs/research_reports/RRA788-3.html,2024-02
part_d_direct_subsidy_billions_2023,4.9,billions of dollars,2023,model_input,"MedPAC, Report to the Congress: Medicare Payment Policy, ch. 12, Table 12-5 — ""Medicare made payments to Part D plans of $4.9 billion for the monthly capitated direct subsidy, $63.3 billion for reinsurance, and $43.9 billion for the LIS"", enrollees paying $16.1 billion in basic premiums",p. 432,https://www.medpac.gov/wp-content/uploads/2025/03/Mar25_Ch12_MedPAC_Report_To_Congress_SEC.pdf,2025-03
part_d_reinsurance_billions_2023,63.3,billions of dollars,2023,model_input,"MedPAC, same chapter, Table 12-5 — cost-based reinsurance payments, which had grown 8.2% a year from 2019 and were over 90% of Medicare's basic-benefit payments before the 2025 redesign",p. 432,https://www.medpac.gov/wp-content/uploads/2025/03/Mar25_Ch12_MedPAC_Report_To_Congress_SEC.pdf,2025-03
part_d_low_income_subsidy_billions_2023,43.9,billions of dollars,2023,model_input,"MedPAC, same chapter, Table 12-5 — low-income subsidy",p. 432,https://www.medpac.gov/wp-content/uploads/2025/03/Mar25_Ch12_MedPAC_Report_To_Congress_SEC.pdf,2025-03
part_d_enrollee_premiums_billions_2023,16.1,billions of dollars,2023,model_input,"MedPAC, same chapter, Table 12-5 — ""Enrollees paid the remaining $16.1 billion in premiums for basic benefits""",p. 432,https://www.medpac.gov/wp-content/uploads/2025/03/Mar25_Ch12_MedPAC_Report_To_Congress_SEC.pdf,2025-03
part_d_enrollee_cost_sharing_billions_2023,18.8,billions of dollars,2023,model_input,"MedPAC, same chapter — $128.2B of plan payments plus $18.8B of enrollee cost sharing is the $147.0B universe the federal share is a share of",p. 409,https://www.medpac.gov/wp-content/uploads/2025/03/Mar25_Ch12_MedPAC_Report_To_Congress_SEC.pdf,2025-03
part_d_direct_subsidy_pmpm_2025,142.67,dollars per enrollee per month,2025,model_input,"MedPAC, same chapter, Table 12-2 quoted on p. 421 — ""Medicare's direct subsidy is increased by the amount of premium growth above the 6 percent cap ($19.20), or from $123.47 ... to $142.67""",p. 424,https://www.medpac.gov/wp-content/uploads/2025/03/Mar25_Ch12_MedPAC_Report_To_Congress_SEC.pdf,2025-03
part_d_reinsurance_pmpm_2025,40.08,dollars per enrollee per month,2025,model_input,"MedPAC, same chapter — ""the average expected reinsurance declined from $90 to $40"" as the IRA cut catastrophic-phase reinsurance from 80% to 20% for brands; $182.75 of total Medicare spending per enrollee less the $142.67 direct subsidy",p. 424,https://www.medpac.gov/wp-content/uploads/2025/03/Mar25_Ch12_MedPAC_Report_To_Congress_SEC.pdf,2025-03
part_d_base_beneficiary_premium_2025,36.78,dollars per enrollee per month,2025,model_input,"MedPAC, same chapter — ""Because of the cap, the BBP for 2025 rose to just $36.78""; Medicare's overall subsidy rate is 83.2% of expected total benefit cost in 2025 against 77.5% in 2024",p. 421,https://www.medpac.gov/wp-content/uploads/2025/03/Mar25_Ch12_MedPAC_Report_To_Congress_SEC.pdf,2025-03
negotiation_cycle1_drugs,10,molecules selected,2023,model_input,"CMS press release — the ten Part D drugs selected for initial price applicability year 2026",press release,https://www.cms.gov/newsroom/press-releases/negotiating-lower-drug-prices-works-saves-billions,2024-08
negotiation_cycle1_gross_billions,56.2,billions of dollars per year,2023,model_input,"CMS press release — ""The selected drugs accounted for $56.2 billion in total Medicare spending, or about 20 percent of total Part D gross spending in 2023""",press release,https://www.cms.gov/newsroom/press-releases/negotiating-lower-drug-prices-works-saves-billions,2024-08
negotiation_cycle2_drugs,15,molecules selected,2024,model_input,"CMS press release — the fifteen Part D drugs selected for initial price applicability year 2027",press release,https://www.cms.gov/newsroom/press-releases/hhs-announces-15-additional-drugs-selected-medicare-drug-price-negotiations-continued-effort-lower,2025-01
negotiation_cycle2_gross_billions,41.0,billions of dollars per year,2024,model_input,"CMS press release — ""These selected drugs accounted for about $41 billion in total gross covered prescription drug costs under Medicare Part D, or about 14%"" over November 2023 to October 2024",press release,https://www.cms.gov/newsroom/press-releases/hhs-announces-15-additional-drugs-selected-medicare-drug-price-negotiations-continued-effort-lower,2025-01
negotiation_cycle3_drugs,15,molecules selected,2025,model_input,"CMS press release — the fifteen Part B and Part D drugs selected for initial price applicability year 2028, the first cycle to reach Part B",press release,https://www.cms.gov/newsroom/press-releases/cms-announces-selection-drugs-third-cycle-medicare-drug-price-negotiation-program-including-first,2026-02
negotiation_cycle3_gross_billions,27.0,billions of dollars per year,2025,model_input,"CMS press release — about $27 billion of total Part B and Part D drug spending, roughly 6% of the two parts combined, over November 2024 to October 2025",press release,https://www.cms.gov/newsroom/press-releases/cms-announces-selection-drugs-third-cycle-medicare-drug-price-negotiation-program-including-first,2026-02
negotiation_cycle1_saving_billions,6.0,billions of dollars per year,2023,model_input,"CMS press release — ""If the new prices had been in effect in 2023, they would have saved an estimated $6 billion in net covered prescription drug costs, or approximately 22 percent, across the 10 selected drugs."" $6B against those drugs' $56.2B of gross spending is the observed saving per gross dollar, so the module needs no separate gross-to-net or discount assumption",press release,https://www.cms.gov/newsroom/press-releases/hhs-announces-15-additional-drugs-selected-medicare-drug-price-negotiations-continued-effort-lower,2025-01
ira_annual_selection_cap,20,molecules per applicability year,2028,model_input,"CMS press release — ""CMS will select up to 15 more drugs covered under Part D for negotiation for 2027 ... up to 15 more drugs covered by Part B or Part D for 2028, and up to 20 more Part B or Part D drugs for each year after that, as required by the Inflation Reduction Act""",press release,https://www.cms.gov/newsroom/press-releases/negotiating-lower-drug-prices-works-saves-billions,2024-08
part_d_oop_cap_reference_dollars,2000.0,dollars per year,2025,model_input,"HHS ASPE, Projecting the Impact of the Inflation Reduction Act's Part D Redesign (HP-2025-02) — the IRA's annual out-of-pocket cap the $7.2B of relief is priced at",p. 7,"https://aspe.hhs.gov/sites/default/files/documents/ee9b0f2bf15e69d7e3c7ca7618eaa2af/projecting-impact-part-d.pdf",2025-01
part_d_oop_cap_reference_relief_billions,7.2,billions of dollars per year,2025,model_input,"HHS ASPE, HP-2025-02, Table 2B — ""total Part D out-of-pocket savings under the IRA are estimated to be approximately $7.2 billion"" for the 11.3 million enrollees projected to reach the $2,000 cap in 2025. That is the amount the cap shifts off beneficiaries and onto plan liability",p. 7,"https://aspe.hhs.gov/sites/default/files/documents/ee9b0f2bf15e69d7e3c7ca7618eaa2af/projecting-impact-part-d.pdf",2025-01
part_d_oop_cap_baseline_out_of_pocket_billions,14.3,billions of dollars per year,2025,model_input,"HHS ASPE, HP-2025-02, Table 2A — the same enrollees ""are projected to spend about $14 billion in out-of-pocket drug costs in 2025"" in the absence of the IRA ($14,333,535,094). A cap of $0 shifts all of it; the module interpolates linearly between this point and the $2,000 point and refuses to extrapolate above $2,000",p. 6,"https://aspe.hhs.gov/sites/default/files/documents/ee9b0f2bf15e69d7e3c7ca7618eaa2af/projecting-impact-part-d.pdf",2025-01
part_d_catastrophic_reinsurance_brand,0.20,share of catastrophic-phase cost,2025,context,"MedPAC, March 2025, ch. 12, Figure 12-1 (New defined standard benefit design, 2025) — above the $2,000 OOP cap the plan pays 60%, Medicare reinsurance 20% and the brand manufacturer 20%; below it the enrollee pays 25%, the plan 65% and the manufacturer 10%",p. 420,https://www.medpac.gov/wp-content/uploads/2025/03/Mar25_Ch12_MedPAC_Report_To_Congress_SEC.pdf,2025-03
part_d_catastrophic_reinsurance_generic,0.40,share of catastrophic-phase cost,2025,context,"MedPAC, same figure — ""For generic drugs, plan sponsors must pay 75 percent of covered benefits between the deductible and OOP cap. Medicare will pay 40 percent reinsurance above the OOP cap""",p. 420,https://www.medpac.gov/wp-content/uploads/2025/03/Mar25_Ch12_MedPAC_Report_To_Congress_SEC.pdf,2025-03
cbo_negotiation_program_savings_billions,100.0,billions of dollars over ten years,2022,external_check,"CBO, quoted by HHS Secretary Becerra in CMS's press release — ""Congressional budget estimators (Congressional Budget Office) predicted about $100 billion savings over 10 years from drug negotiations, and a $3.7 billion savings in the first year alone."" This is the negotiation program alone; the $237B often attached to it is CBO's score of the IRA's entire drug-pricing title",press release,https://www.cms.gov/newsroom/press-releases/negotiating-lower-drug-prices-works-saves-billions,2024-08
cbo_negotiation_first_year_savings_billions,3.7,billions of dollars in the first year,2026,external_check,"CBO, quoted by HHS in the same release",press release,https://www.cms.gov/newsroom/press-releases/negotiating-lower-drug-prices-works-saves-billions,2024-08
cbo_ira_fewer_drugs_first_decade,1.0,new drugs not introduced,2022,model_input,"CBO, Summary: Estimated Budgetary Effects of Public Law 117-169 (7 September 2022) — under the IRA ""the number of drugs that would be introduced to the U.S. market would be reduced by about 1 over the 2023-2032 period, about 5 over the subsequent decade, and about 7 over the decade after that"". cbo.gov 403s non-browser clients; quoted verbatim in CRS Report R47872 (footnote 80) and in KFF, Explaining the Prescription Drug Provisions in the Inflation Reduction Act",p. 15,https://www.everycrsreport.com/reports/R47872.html,2022-09
cbo_thirty_year_new_drugs,1300.0,new drugs expected over thirty years,2022,model_input,"KFF, quoting the same CBO estimate — ""13 fewer out of 1,300, or a reduction of 1%"" over thirty years. A decade's share of 1,300 is the denominator a first-decade count is a fraction of",explainer,https://www.kff.org/medicare/explaining-the-prescription-drug-provisions-in-the-inflation-reduction-act/,2023-01
cbo_hr3_fewer_drugs_first_decade,11.5,new drugs not introduced,2019,model_input,"CBO, letter to Chairman Frank Pallone Jr. on title I of H.R. 3 (publication 55722, 11 October 2019) — ""a reduction in revenues of $0.5 trillion to $1 trillion would lead to a reduction of approximately 8 to 15 new drugs coming to market over the next 10 years"". 11.5 is the midpoint of CBO's own range. cbo.gov 403s non-browser clients; the letter is reproduced by Knowledge Ecology International",letter,https://www.keionline.org/31841,2019-10
cbo_hr3_first_decade_new_drugs,300.0,new drugs expected over ten years,2019,model_input,"CBO, same letter — the FDA ""approves, on average, about 30 new drugs annually, suggesting that about 300 drugs might be approved over the next 10 years"". CBO's own denominator, so the ratio is CBO's own 3 to 5 percent",letter,https://www.keionline.org/31841,2019-10
cbo_ira_part_d_redesign_deficit_billions,30.0,billions of dollars over FY2022-2031,2022,external_check,"CBO's score of the IRA's Part D benefit redesign, quoted by KFF — ""CBO estimates these provisions will increase federal spending by $30 billion over 10 years (2022-2031), which consists of $29.9 billion in higher spending associated with Part D benefit redesign and $0.1 billion in higher spending associated with the provision to spread out out-of-pocket costs."" This is the NET of the redesign, in which the $2,000 cap's cost is offset by cutting catastrophic reinsurance from 80% to 20% and by the new manufacturer discount program",explainer,https://www.kff.org/medicare/explaining-the-prescription-drug-provisions-in-the-inflation-reduction-act/,2023-01
cbo_ira_negotiation_program_savings_billions,98.5,billions of dollars over FY2022-2031,2022,external_check,"CBO's score of the IRA's drug price negotiation program alone, quoted by KFF alongside $63.2B for the inflation rebates and $237B for all the drug pricing provisions together. The $237B is the figure the module used to divide by a drug count",explainer,https://www.kff.org/medicare/explaining-the-prescription-drug-provisions-in-the-inflation-reduction-act/,2023-01
medicare_part_b_drugs_billions,54.0,billions of dollars per year,2023,model_input,"MedPAC, Health Care Spending and the Medicare Program: A Data Book, section 10 (Prescription drugs), chart 10-1 — ""Fee-for-service (FFS) Medicare and its beneficiaries spent about $54 billion on separately paid Part B drugs in 2023"". Part B drugs are paid at ASP + 6% and ASP is already net of most manufacturer price concessions, so this base takes no rebate haircut",chart 10-1 (p. 147),https://www.medpac.gov/wp-content/uploads/2025/07/July2025_MedPAC_DataBook_Sec10_SEC-1.pdf,2025-07
